,title,author,day,genre,story,score,platform
43,"선배, 그 립스틱 바르지 마요",까페라떼 / JINHA,월,"스토리, 로맨스","좋아하는 직장선배의 애인이 다른 여자와 결혼한다고? 복수를 제안하며 다가오는 완벽남의 설렘 100 로맨틱 어택! 화장품 회사를 배경으로 잘생김, 섹시함, 진지함을 갖춘 직진남 후배와 연하는 남자로 안 본다는 직선녀 선배 두 사람의 밀당 설렘 로맨스",9.934,네이버 웹툰
44,이중첩자,"피숙혜,하연 / 옆집찰스",월,"스토리, 드라마","전쟁으로 모든 걸 잃은 후 첩자가 된 사샤, 전쟁의 일등공신, 천사의 얼굴을 한 악마 장교 요한에게 발각되는데 ! 적국에 사로잡힌 첩자, 이중첩자가 되다!",9.967,네이버 웹툰
45,원하는 건 너 하나,"달콤J,박성실 / sage",월,"스토리, 로맨스",대기업 경영권을 물려받으려면 5년 전 자신을 떠난 은율과 결혼해 1년 이상 살아야 한다는 할아버지의 유언. 배신의 상처가 아직 크지만 어쩔 수 없이 5살 아이를 홀로 키우고 있는 은율과 어색한 동거를 시작하게 된다.,9.816,네이버 웹툰
46,"또다시, 계약 부부","설우희,제제 / 제제",월,"스토리, 로맨스","서로에게 강한 이끌림을 느꼈던 건하와 서연, 하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다. 5년 뒤, 건하는 서연에게 또 한 번 계약 부부 를 제안한다. 나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야.",9.872,네이버 웹툰
47,마지막 지수,에리카 / 채나라,월,"스토리, 로맨스","소설가를 꿈꾸는 주인공 양지수. 어느날부터 지수 라는 이름만 골라사귀기로 소문난 바람둥이 혜성 이 접근해오기 시작한다. 이미 남자친구 도혁 이 있는 지수는 혜성의 접근이 불쾌할 뿐이지만, 한 가지 수상한 점이 자꾸만 호기심을 자극한다. 얘가 어떻게 내 연애사를 낱낱이 알고 있는거지...?",9.963,네이버 웹툰
48,라서드,감람,월,"스토리, 판타지","절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계. 수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데... 정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!",9.962,네이버 웹툰
49,백호랑,박혬,월,"스토리, 판타지",모든 것이 완벽해 보이는 지룡은 비밀스런 동거 중! 사촌동생이자 고양이이자 수호자인 소년은 바로 서쪽의 신수 백호였다! 과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행인 백호랑과 그에게 엮인 지룡의 스펙타클한 일상,9.796,네이버 웹툰
50,중독연구소,김택기,월,"옴니버스, 드라마","중독 가정에서 자라온 소년, 김태림 은 중독 전문병원에 입사를 하게 되면서 자신의 문제를 바라보게 된다. 우리 모두의 중독 이야기, 당신은 무엇에 중독이 되어있나요?",9.834,네이버 웹툰
51,드로잉 레시피,꼬모소이,월,"스토리, 감성",어머니가 돌아가신후 어머니가 주인이었던 석촌 미선빌라 201호로 이사 온 은수의 용서와 성장의 힐링여행,9.963,네이버 웹툰
52,사막에 핀 달,선지,월,"스토리, 시대극","사막의 전사 나디아. 신녀를 찾아 사막에 온 신관 이세리온은 나디아에게 신녀가 되어달라고 말한다. 나디아는 부족을 지키기 위해 신녀가 되기로 결심하지만, 야만인이라고 무시받는 상황에서 나디아는 과연 진짜 신녀가 될 수 있을까? 신녀로 선택받은 나디아와 신관 이세리온의 이야기.",9.826,네이버 웹툰
53,살아간다,이행복,월,"스토리, 액션",하루하루 버겁게 살아가고 있는 주인공 권도이 . 첫사랑 정선영 을 위해 불법도박격투기장 하데스 에 점점 빠져 들게 되고 오래 전 자신의 꿈이었던 종합격투기 선수를 떠올린다. 라스트 서브미션 이행복 작가의 차기작.,8.616,네이버 웹툰
54,이탄국의 자청비,"김보람, 한집 / 나넷",월,"스토리, 로맨스","시공 초월 판타지 로맨스! 태권 소녀 자청비, 물푸레 향이 가득한 이세계 황궁에 떨어지다! 아는 사람 하나 없는 낯선 나라. 왕싸가지 꽃미남 황태자, 생명의 은인인 비운의 왕자, 놀기 좋아하는 말괄량이 공주 사이에서, 자청비는 집으로 돌아갈 수 있을까?",9.922,네이버 웹툰
55,그림자 신부,이새인 / 덥머,월,"스토리, 로맨스","빚 갚을 돈을 벌려다가 끔찍한 위기에 빠진 설윤 앞에 신검 월흔 을 든 핏빛 무사가 나타난다. 절체절명의 위기에서 구해준 건 고맙지만 난데없이 밤시중을 들라는데... 다음 날, 7년 전쟁의 승리를 축하하는 행진 중 왕세자가 든 신검이 낯설지 않다! 어젯밤 그가 왕세자였어?!!",9.931,네이버 웹툰
56,모락모락 왕세자님,원해,월,"스토리, 로맨스",온천마을에 찾아온 꽃미남 왕세자일행과 신비한 힘을 가진 소녀의 판타지 로맨스,9.939,네이버 웹툰
57,바로 보지 않는,지민,월,"스토리, 드라마",몇 번의 연애 끝에 민주는 일찌감치 사랑보다 우정을 택하기로 결심한다. 난 희진이 너만 있으면 아무것도 필요 없어. 너도 그렇지?,9.878,네이버 웹툰
58,개밥 먹는 남자,김태순,월,"스토리, 판타지","출근길에 우연히 받은 아임펫 향수 를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남. 그런데, 뚜치가 회사에 출근하더니 투자 계약을 따내고, 임원 승진에, 짝사랑하는 여직원과 썸을 타기 시작한다?! 뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다. 주인과 반려동물의 몸을 뒤바꾸는 아임펫 향수 때문에 벌어지는 아이러니 코미디! 대박 맞겠지? 2020 지상최대공모전 1기 장려상 수상작!",9.914,네이버 웹툰
59,보살님이 캐리해!,성코 / 콩자,월,"스토리, 액션",억겁의 시간을 넘어 환생한 보살들이여 야차들의 습격에서 평화로운 일상과 법화를 수호하라!,9.89,네이버 웹툰
60,오로지 오로라,홍달,월,"스토리, 판타지","마법 소녀가 불법인 세상, 이 세계의 마법 소녀는 사랑받는 존재가 아니다. 한창 잘 나가던 아이돌 오로라 의 인생에 불순물처럼 끼어든 마법 소녀의 삶. 그리고 그 앞에 나타난 기이한 마법사 소년 심청, 과연 오로라는 마법 소녀를 무사히 마치고 자신의 황금빛 인생을 이어나갈 수 있을까? 2019년 네이버웹툰 최강자전 3위 수상작!",9.933,네이버 웹툰
61,헬로맨스,이공주 / 하얀독수리,월,"스토리, 로맨스","마계 서열, 중급악마 시트리. 상급 악마가 되고 싶었지만 억울한 누명으로 인간계에 떨어졌다. 인간이 된 시트리는 검찰 수사관이 되었지만 이기적이고, 싸가지도 없고, 개념도 없는 직속 검사 계세아를 만나게 된다. 둘은 첫날부터 원수지간이 되는데 악마였던 검찰수사관과 악마같은 검사의 범죄스릴 로맨스가 펼쳐진다!",9.914,네이버 웹툰
62,트리거,고경빈,월,"스토리, 판타지","지구에 소행성이 떨어진 후, 지구는 인간을 먹이로 하는 괴생명체 아니스 에 의해 절멸 위기에 처한다. 청소년 모두가 입대해서 아니스에 맞서야 하는 시대. 1년 전 먼저 입대한 소꿉친구 니카와 어렵게 재회한 에반은 니카가 자신을 전혀 기억하지 못하는데다, 더이상 평범한 인간이 아니라는것을 알게 된다. 충격에 빠진 에반에게 정부에서 준 임무는 니카를 죽이라는 것이다. 그것도 매일, 인류를 위해..",9.876,네이버 웹툰
63,기사님을 지켜줘,달봉,월,"스토리, 판타지","첫눈에 반한 남학생을 떠올리며 언니의 피규어 브릭 에게 뽀뽀 연습을 하는 예은 . 그날 밤, 이상한 꿈에 눈을 떠보니 피규어가 살아 움직이며 자신의 저주를 풀 수 있도록 도와 달라고 한다. 예은은 모종의 이유로 브릭의 부탁을 받아들이고, 저주를 건 마녀에 대한 단서를 찾기 시작한다.",9.873,네이버 웹툰
64,여신강림,야옹이,화,"스토리, 로맨스","네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스 메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?",8.27,네이버 웹툰
65,용사가 돌아왔다,나락 / 풍백,화,"스토리, 액션","김민수에게 복수를 하겠다는 일념 하나로 이세계를 구한 용사, 박정수. 그는 스스로는 구했지만, 세계를 구하지 못했고, 자신의 세상을 멸망시킨 용사들을 죽이기로 마음 먹는다. 이 이야기는 해피 엔딩 따윈 없는 차가운 현실, 용사들을 죽이는 용사에 대한 이야기이다.",8.156,네이버 웹툰
66,덴큐,백감독,화,"스토리, 판타지",특수능력을 지닌 악당 덴마가 꼬마의 몸에 갇혀 겪는 모험...의 끝나지 않은 이야기.,9.48,네이버 웹툰
67,한림체육관,혜성 / 이석재,화,"에피소드, 액션",세상에서 가장 강한 남자가 되고 싶다. 그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물,9.827,네이버 웹툰
68,엽총소년,김칸비 / 홍필,화,"스토리, 스릴러","약자에서 영웅이 될 수밖에 없었던 소년 한규환 , 그리고 그 소년을 영웅으로 만들어줄 엽총 한 자루가 눈앞에 있다. 글로벌 누적 조회수 12억 뷰를 기록한 스위트홈 의 프리퀄 대공개!",9.945,네이버 웹툰
69,하루만 네가 되고 싶어,삼,화,"스토리, 로맨스","완벽한 인생이었다, 그 애가 나타나기 전까지는 반전에 반전을 거듭하는 치밀한 궁중 서스펜스 네이버웹툰 최강자전 19년 대표작.",9.978,네이버 웹툰
70,사신소년,류,화,"스토리, 액션","수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!",9.945,네이버 웹툰
71,중증외상센터 : 골든 아워,한산이가 / 홍비치라,화,"스토리, 드라마","살 수 있는 환자들이 죽어 가고 있다. 이제 더는 그런 일이 없도록 하겠다. 사명감 있는 또라이. 중증외상센터의 난폭한 천사. 외상외과 전문의 백강혁, 그의 중증외상센터 되살리기 프로젝트.",9.974,네이버 웹툰
72,랜덤채팅의 그녀!,박은혁,화,"스토리, 드라마",랜덤채팅만 하던 준우에게 온 기적! 과연 그녀 들 에게 다가갈수 있을까?! 읽다 보면 원픽 캐릭터 무조건 생김,9.573,네이버 웹툰
73,신도림,오세형,화,"스토리, 액션",세상이 무너지고 세워진 지하도시 신도림 그곳에 들어가지 못하고 생존한 소년들이 지하도시의 비밀을 파헤친다,9.715,네이버 웹툰
74,니나의 마법서랍,랑또,"화, 토","스토리, 스릴러","가담항설 랑또 작가의 컬러풀하지만 어딘지 오싹한 매지컬 스릴러! 니나는 집앞 골목에서 유치뽕짝한 서랍을 줍는다. 그런데 그 안에 소원을 적으세요. 라고 적혀있는 유치한 디자인의 카드가 세 장. 취업하게 해주세요 , 50만원만 주세요 , 멋진 남친이 생기게 해주세요 ! 그리고 그 모든 소원을 이뤄주는 마법서랍으로 빨려들어가는데..?",9.968,네이버 웹툰
75,헬58,장성준,화,"스토리, 액션","약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?",9.843,네이버 웹툰
76,달콤살벌한 부부,플라비 / 장그린,화,"스토리, 로맨스","학창 시절 내내 앙숙이었던 남자, 10년 만에 나타나 거절키 어려운 조건으로 쇼윈도 부부를 제안하다.",9.981,네이버 웹툰
77,블랙 위도우,마크 웨이드 / 크리스 샘니,"화, 금","스토리, 액션","페이즈4의 시작, 강렬한 액션을 원작으로! 전직 킬러, . . . . . . 요원, 어벤저스 멤버였던 나타샤 로마노프. 과거에 남긴 발자국이 그녀를 찾아온다. 울보 사자 라 불리는 악당이 텔레파시 능력을 이용해 블랙 위도우를 협박하고, 암살자 양성 기관 레드 룸 잔당은 새로운 학교를 설립해 또 다른 소녀들을 훈련시키고 있었다. 위도우는 허락할 수 없다 . 자신과 같은 운명의 소녀들이 세상에 또 만들어지는 것을!",9.895,네이버 웹툰
78,호랑이 들어와요,배세혁 / 유은,화,"에피소드, 판타지",숲속의 젊은 부부와 어느 날 그들에게 찾아온 정체불명의 아이들이 만들어가는 즐겁고 신묘한 일상,9.98,네이버 웹툰
79,천마는 평범하게 살 수 없다,"ZAINO, 산천 / 알토란",화,"스토리, 판타지","천마 백중혁, 드미트리 가문의 장남으로 눈을 뜨다. 드미트리의 얼간이, 차남에게 밀린 장남. 세간의 평판은 중요하지 않다. 천마, 아니, 로만 드미트리는 앞으로 평범하게 살 수 없다. 압도하는 천마 판타지!",9.742,네이버 웹툰
80,집이 없어,와난,화,"스토리, 드라마","집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영. 악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데.. 기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기",9.987,네이버 웹툰
81,오피스 누나 이야기,"팔메이로,김자네 / 와삭바삭",화,"스토리, 로맨스","회사 팀에서 만난 성숙하고 매력적인 연상의 여자 안책임님. 현명하고, 배려심 깊고, 그래서 끌리는 하지만, 아이가 있는 여자.",9.9,네이버 웹툰
82,원주민 공포만화,원주민,화,"스토리, 스릴러",끝까지 방심하지 말 것! 당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!,9.709,네이버 웹툰
